"Status","Year","Age","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","50-59","Unknown","Heterosexual / straight","4115","3900","34430","29110"
"In post","2023","50-59","Unknown","LGBO","190","185","36220","35030"
"In post","2023","50-59","Unknown","Undeclared","430","405","36750","35570"
"In post","2023","50-59","Unknown","Unknown","1070","1005","38000","35100"
"In post","2023","60-64","AA/AO","Heterosexual / straight","10120","8330","23300","22220"
"In post","2023","60-64","AA/AO","LGBO","255","215","23260","22400"
"In post","2023","60-64","AA/AO","Undeclared","1610","1285","23050","22220"
"In post","2023","60-64","AA/AO","Unknown","3130","2480","23900","22520"
"In post","2023","60-64","EO","Heterosexual / straight","8175","6615","29220","28120"
"In post","2023","60-64","EO","LGBO","240","200","29320","28120"
"In post","2023","60-64","EO","Undeclared","1450","1140","29170","28120"
"In post","2023","60-64","EO","Unknown","2035","1595","29970","28130"
"In post","2023","60-64","G6/G7","Heterosexual / straight","2910","2570","63050","61090"
"In post","2023","60-64","G6/G7","LGBO","95","85","63790","63050"
"In post","2023","60-64","G6/G7","Undeclared","410","350","63200","60820"
"In post","2023","60-64","G6/G7","Unknown","605","535","62800","60050"
"In post","2023","60-64","SCS level","Heterosexual / straight","310","285","103150","96390"
"In post","2023","60-64","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","60-64","SCS level","Undeclared","45","40","104380","90440"
"In post","2023","60-64","SCS level","Unknown","90","80","103710","95900"
"In post","2023","60-64","SEO/HEO","Heterosexual / straight","6865","5880","39530","38580"
"In post","2023","60-64","SEO/HEO","LGBO","195","170","39700","39140"
"In post","2023","60-64","SEO/HEO","Undeclared","1155","975","39760","38820"
"In post","2023","60-64","SEO/HEO","Unknown","1290","1095","40230","39450"
"In post","2023","60-64","Unknown","Heterosexual / straight","1430","1260","33560","29050"
"In post","2023","60-64","Unknown","LGBO","40","35","35020","38290"
"In post","2023","60-64","Unknown","Undeclared","140","125","36220","35380"
"In post","2023","60-64","Unknown","Unknown","380","340","36220","33690"
"In post","2023","65+","AA/AO","Heterosexual / straight","3860","3010","23100","22220"
"In post","2023","65+","AA/AO","LGBO","85","65","23110","22520"
"In post","2023","65+","AA/AO","Undeclared","620","465","22990","22330"
"In post","2023","65+","AA/AO","Unknown","1235","925","23960","22520"
"In post","2023","65+","EO","Heterosexual / straight","2410","1805","29340","28120"
"In post","2023","65+","EO","LGBO","65","55","29600","29080"
"In post","2023","65+","EO","Undeclared","490","355","29300","28120"
"In post","2023","65+","EO","Unknown","665","465","29920","28480"
"In post","2023","65+","G6/G7","Heterosexual / straight","730","590","63790","61930"
"In post","2023","65+","G6/G7","LGBO","15","10","[c]","[c]"
"In post","2023","65+","G6/G7","Undeclared","115","90","66020","63900"
"In post","2023","65+","G6/G7","Unknown","200","150","64510","63500"
"In post","2023","65+","SCS level","Heterosexual / straight","70","60","111910","98510"
"In post","2023","65+","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","65+","SCS level","Unknown","25","20","[c]","[c]"
"In post","2023","65+","SEO/HEO","Heterosexual / straight","1790","1435","40120","38910"
"In post","2023","65+","SEO/HEO","LGBO","40","30","39190","37130"
"In post","2023","65+","SEO/HEO","Undeclared","340","275","39940","38910"
"In post","2023","65+","SEO/HEO","Unknown","385","290","41470","41200"
"In post","2023","65+","Unknown","Heterosexual / straight","500","390","31860","29050"
"In post","2023","65+","Unknown","LGBO","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","70","50","37930","38290"
"In post","2023","65+","Unknown","Unknown","120","95","33780","29050"
"In post","2023","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
