"Status","Year","Disability","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","Female","45","40","44610","39780"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","Male","40","40","43930","38470"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","Female","45","40","46080","41780"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","Male","35","35","49210","45560"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","Female","65","60","41880","39890"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","Male","145","140","44990","46780"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","Female","45","45","43770","39540"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","Male","40","40","43570","43650"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Female","130","125","38330","37760"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Male","75","75","38610","37690"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office","Female","125","125","57320","56000"
"In post","2023","Declared disabled","Commercial","Cabinet Office","Male","120","115","67910","66700"
"In post","2023","Declared disabled","Commercial","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Female","30","30","34360","32000"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","Female","140","130","39910","39890"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","Male","90","85","41200","40450"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions","Female","30","30","42460","39730"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Revenue and Customs","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Revenue and Customs","Male","10","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Defence","Female","30","30","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Defence","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Justice","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Justice","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Gas and Electricity Markets","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Scottish Government","Female","[c]","[c]","[c]","[c]"
