"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","Female","355","340","45920","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","Male","275","275","46540","41530"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","Male","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","Female","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Wales","Female","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Wales","Male","25","25","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Female","95","90","33600","31120"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Male","60","60","33140","31350"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","London","Female","80","80","47920","52900"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","London","Male","50","50","47540","42120"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","East Midlands (England)","Female","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","East of England","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","East of England","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","London","Female","200","190","45290","42010"
"In post","2023","Asian","Department for Education","London","Male","95","95","47840","42170"
"In post","2023","Asian","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","North East (England)","Female","10","5","[c]","[c]"
"In post","2023","Asian","Department for Education","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","North West (England)","Female","70","65","36670","32860"
"In post","2023","Asian","Department for Education","North West (England)","Male","55","55","38930","37590"
"In post","2023","Asian","Department for Education","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","South West (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","West Midlands (England)","Female","165","160","39090","37590"
"In post","2023","Asian","Department for Education","West Midlands (England)","Male","110","110","40330","37590"
"In post","2023","Asian","Department for Education","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Yorkshire and The Humber","Female","50","50","37010","34280"
"In post","2023","Asian","Department for Education","Yorkshire and The Humber","Male","50","50","40940","37590"
"In post","2023","Asian","Department for Education","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East of England","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East of England","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","London","Female","120","120","41100","34770"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","London","Male","95","90","42420","40260"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Male","15","15","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South East (England)","Female","70","65","31800","29080"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South East (England)","Male","35","35","38950","34060"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South West (England)","Female","30","30","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South West (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","Female","25","25","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Female","20","20","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","London","Female","140","140","45350","41550"
"In post","2023","Asian","Department for International Trade","London","Male","125","125","46800","41840"
"In post","2023","Asian","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Wales","Male","[c]","[c]","[c]","[c]"
