"Status","Year","Disability","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Health Security Agency","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","UK Statistics Authority","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Valuation Office Agency","HM Revenue and Customs","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government (excl. agencies)","Welsh Government","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Cabinet Office (excl. agencies)","Cabinet Office","35","35","42830","39350"
"In post","2023","Declared disabled","Black","Central Civil Service Fast Stream","Cabinet Office","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Crown Prosecution Service","Attorney General's Departments","55","50","41640","35550"
"In post","2023","Declared disabled","Black","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Defence Equipment and Support","Ministry of Defence","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Defence Science and Technology Laboratory","Ministry of Defence","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","50","50","46270","41540"
"In post","2023","Declared disabled","Black","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Education (excl. agencies)","Department for Education","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","35","30","37970","33830"
"In post","2023","Declared disabled","Black","Department for International Trade","Department for International Trade","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Transport (excl. agencies)","Department for Transport","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","660","595","30730","31280"
"In post","2023","Declared disabled","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Government Commercial Organisation","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Government Legal Department","Attorney General's Departments","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","HM Courts and Tribunals Service","Ministry of Justice","135","125","27490","25480"
"In post","2023","Declared disabled","Black","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","HM Land Registry","HM Land Registry","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","HM Prison and Probation Service","Ministry of Justice","455","435","34140","32790"
"In post","2023","Declared disabled","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","190","185","35910","34400"
"In post","2023","Declared disabled","Black","HM Treasury (excl. agencies)","HM Treasury","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Home Office","Home Office","180","165","34110","30240"
"In post","2023","Declared disabled","Black","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","60","55","34820","33830"
"In post","2023","Declared disabled","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","55","55","39950","35410"
"In post","2023","Declared disabled","Black","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Office of the Public Guardian","Ministry of Justice","15","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scottish Government (excl. agencies)","Scottish Government","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","The Insolvency Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","UK Health Security Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","UK Statistics Authority","UK Statistics Authority","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Valuation Office Agency","HM Revenue and Customs","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","35","35","48720","43500"
"In post","2023","Declared disabled","Mixed","Central Civil Service Fast Stream","Cabinet Office","30","30","30760","30130"
"In post","2023","Declared disabled","Mixed","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Crown Prosecution Service","Attorney General's Departments","30","30","50270","55280"
"In post","2023","Declared disabled","Mixed","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Defence Equipment and Support","Ministry of Defence","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Defence Science and Technology Laboratory","Ministry of Defence","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40","40","43640","41360"
"In post","2023","Declared disabled","Mixed","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Department for Education (excl. agencies)","Department for Education","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","40","35","43060","40260"
"In post","2023","Declared disabled","Mixed","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Department for Transport (excl. agencies)","Department for Transport","10","5","[c]","[c]"
