"Status","Year","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Chorley and West Lancashire","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","Female","30","30","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","Male","30","30","45190","43130"
"In post","2023","Commercial","Clackmannanshire and Fife","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Clackmannanshire and Fife","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Coventry","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Coventry","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Croydon","Female","90","85","48110","43210"
"In post","2023","Commercial","Croydon","Male","55","55","49880","45930"
"In post","2023","Commercial","Darlington","Female","30","30","45590","39090"
"In post","2023","Commercial","Darlington","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Devon CC","Female","30","30","43260","40050"
"In post","2023","Commercial","Devon CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Dorset","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Durham","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Durham","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East Ayrshire and North Ayrshire mainland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Ayrshire and North Ayrshire mainland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","10","5","[c]","[c]"
"In post","2023","Commercial","East Kent","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Merseyside","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East Merseyside","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East Riding of Yorkshire","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Riding of Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Enfield","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Enfield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Flintshire and Wrexham","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Flintshire and Wrexham","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Glasgow City","Female","95","95","39330","34170"
"In post","2023","Commercial","Glasgow City","Male","95","90","43980","38470"
"In post","2023","Commercial","Gloucestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South West","Female","70","65","45870","42140"
"In post","2023","Commercial","Greater Manchester South West","Male","70","65","50020","44930"
"In post","2023","Commercial","Hackney and Newham","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Hackney and Newham","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Herefordshire, County of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Herefordshire, County of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hertfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Isle of Anglesey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Isle of Anglesey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kensington & Chelsea and Hammersmith & Fulham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kensington & Chelsea and Hammersmith & Fulham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kingston upon Hull, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kingston upon Hull, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lancaster and Wyre","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lancaster and Wyre","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Leeds","Female","200","190","45650","38470"
"In post","2023","Commercial","Leeds","Male","165","165","47020","40350"
"In post","2023","Commercial","Leicester","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Leicestershire CC and Rutland","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Leicestershire CC and Rutland","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Lincolnshire CC","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Lisburn and Castlereagh","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Lisburn and Castlereagh","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Liverpool","Female","150","150","42230","40090"
"In post","2023","Commercial","Liverpool","Male","90","90","43430","40450"
"In post","2023","Commercial","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Manchester","Female","125","120","49210","39090"
"In post","2023","Commercial","Manchester","Male","100","100","51940","43120"
"In post","2023","Commercial","Medway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Mid Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Mid Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Mid Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Mid Lancashire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Mid and East Antrim","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Mid and East Antrim","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Milton Keynes","Female","40","40","42730","40750"
"In post","2023","Commercial","Milton Keynes","Male","30","30","52360","45600"
"In post","2023","Commercial","Monmouthshire and Newport","Female","55","55","38800","32730"
"In post","2023","Commercial","Monmouthshire and Newport","Male","60","60","40270","37760"
"In post","2023","Commercial","North Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Lanarkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Yorkshire CC","Female","15","15","[c]","[c]"
"In post","2023","Commercial","North Yorkshire CC","Male","10","5","[c]","[c]"
"In post","2023","Commercial","North and North East Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North and North East Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northumberland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northumberland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Norwich and East Norfolk","Female","45","40","46070","40620"
"In post","2023","Commercial","Norwich and East Norfolk","Male","45","45","42920","40160"
"In post","2023","Commercial","Nottingham","Female","30","30","43800","41010"
"In post","2023","Commercial","Nottingham","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Oxfordshire CC","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Oxfordshire CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Perth and Kinross, and Stirling","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Perth and Kinross, and Stirling","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Peterborough","Female","30","30","45970","41490"
"In post","2023","Commercial","Peterborough","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Plymouth","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Plymouth","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Portsmouth","Female","40","35","40470","35800"
"In post","2023","Commercial","Portsmouth","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Powys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Powys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Redbridge and Waltham Forest","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Sandwell","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Sandwell","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Sefton","Female","10","5","[c]","[c]"
"In post","2023","Commercial","Sefton","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Sheffield","Female","150","140","41670","38470"
"In post","2023","Commercial","Sheffield","Male","120","120","43470","38470"
"In post","2023","Commercial","Shropshire","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Shropshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Solihull","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Solihull","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Somerset CC","Female","30","25","[c]","[c]"
"In post","2023","Commercial","Somerset CC","Male","15","15","[c]","[c]"
"In post","2023","Commercial","South Ayrshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South Ayrshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South Hampshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","South Hampshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","South Lanarkshire","Female","40","40","50990","46000"
"In post","2023","Commercial","South Lanarkshire","Male","25","25","[c]","[c]"
"In post","2023","Commercial","South Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South and West Derbyshire","Female","15","15","[c]","[c]"
"In post","2023","Commercial","South and West Derbyshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Southampton","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Southampton","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Staffordshire CC","Female","65","65","37230","33910"
"In post","2023","Commercial","Staffordshire CC","Male","70","70","34900","31270"
"In post","2023","Commercial","Stoke-on-Trent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Stoke-on-Trent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Suffolk CC","Female","20","15","[c]","[c]"
"In post","2023","Commercial","Suffolk CC","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Sunderland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Sunderland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Swansea","Female","110","95","34350","31660"
"In post","2023","Commercial","Swansea","Male","100","95","35710","31660"
"In post","2023","Commercial","Swindon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Swindon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Telford and Wrekin","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Telford and Wrekin","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Tower Hamlets","Female","75","75","47120","43650"
"In post","2023","Commercial","Tower Hamlets","Male","85","85","57770","47230"
"In post","2023","Commercial","Tyneside","Female","50","50","42310","37700"
"In post","2023","Commercial","Tyneside","Male","50","50","46380","39580"
"In post","2023","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Wakefield","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Wakefield","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Walsall","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Walsall","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wandsworth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wandsworth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Warrington","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Warrington","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Warwickshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Warwickshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Cumbria","Female","10","10","[c]","[c]"
"In post","2023","Commercial","West Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Commercial","West Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Lothian","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Lothian","Male","10","10","[c]","[c]"
"In post","2023","Commercial","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Surrey","Female","10","10","[c]","[c]"
"In post","2023","Commercial","West Surrey","Male","15","15","[c]","[c]"
"In post","2023","Commercial","West Sussex (North East)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Sussex (North East)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Westminster","Female","625","610","57210","55740"
"In post","2023","Commercial","Westminster","Male","665","660","65730","58460"
"In post","2023","Commercial","Wiltshire","Female","135","125","40380","35800"
"In post","2023","Commercial","Wiltshire","Male","110","110","46730","40580"
"In post","2023","Commercial","Wirral","Female","25","20","[c]","[c]"
"In post","2023","Commercial","Wirral","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Wolverhampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wolverhampton","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Worcestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Worcestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","York","Female","45","45","46330","51290"
"In post","2023","Commercial","York","Male","30","30","47150","38940"
"In post","2023","Communications","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Antrim and Newtownabbey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Antrim and Newtownabbey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Barnet","Male","5","5","[c]","[c]"
"In post","2023","Communications","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","35","30","39280","38790"
"In post","2023","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","20","20","[c]","[c]"
"In post","2023","Communications","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Belfast","Female","15","10","[c]","[c]"
"In post","2023","Communications","Belfast","Male","5","5","[c]","[c]"
"In post","2023","Communications","Berkshire","Female","10","10","[c]","[c]"
"In post","2023","Communications","Berkshire","Male","10","10","[c]","[c]"
"In post","2023","Communications","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Birmingham","Female","20","20","[c]","[c]"
"In post","2023","Communications","Birmingham","Male","15","15","[c]","[c]"
"In post","2023","Communications","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Bristol, City of","Female","50","45","39990","37300"
"In post","2023","Communications","Bristol, City of","Male","35","35","40240","37180"
"In post","2023","Communications","Buckinghamshire","Female","20","20","[c]","[c]"
"In post","2023","Communications","Buckinghamshire","Male","20","20","[c]","[c]"
"In post","2023","Communications","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cardiff and Vale of Glamorgan","Female","125","115","41120","39690"
"In post","2023","Communications","Cardiff and Vale of Glamorgan","Male","85","85","42400","39690"
"In post","2023","Communications","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Central Hampshire","Female","25","25","[c]","[c]"
"In post","2023","Communications","Central Hampshire","Male","35","30","33610","33830"
"In post","2023","Communications","Central Valleys","Female","10","10","[c]","[c]"
"In post","2023","Communications","Central Valleys","Male","5","5","[c]","[c]"
"In post","2023","Communications","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Chorley and West Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Chorley and West Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","City of Edinburgh","Female","25","25","[c]","[c]"
"In post","2023","Communications","City of Edinburgh","Male","20","20","[c]","[c]"
"In post","2023","Communications","Conwy and Denbighshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Conwy and Denbighshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cornwall and Isles of Scilly","Female","5","5","[c]","[c]"
