"Status","Year","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Government Legal Department","10","10","42880","36430"
"In post","2023","Communications","HM Courts and Tribunals Service","15","15","47790","43650"
"In post","2023","Communications","HM Land Registry","30","30","41430","38410"
"In post","2023","Communications","HM Prison and Probation Service","45","45","43790","44330"
"In post","2023","Communications","HM Revenue and Customs (excl. agencies)","235","225","49040","43550"
"In post","2023","Communications","HM Treasury (excl. agencies)","45","40","43800","37390"
"In post","2023","Communications","Health and Safety Executive","45","45","43090","40790"
"In post","2023","Communications","Home Office","120","120","50110","45640"
"In post","2023","Communications","Institute for Apprenticeships and Technical Education","10","10","[c]","[c]"
"In post","2023","Communications","Intellectual Property Office","40","40","40860","41240"
"In post","2023","Communications","Legal Aid Agency","5","5","[c]","[c]"
"In post","2023","Communications","Maritime and Coastguard Agency","20","15","35880","31660"
"In post","2023","Communications","Medicines and Healthcare Products Regulatory Agency","70","70","43730","41190"
"In post","2023","Communications","Met Office","35","30","35900","37420"
"In post","2023","Communications","Ministry of Defence (excl. agencies)","525","510","36600","34300"
"In post","2023","Communications","Ministry of Justice (excl. agencies)","165","165","46280","43650"
"In post","2023","Communications","National Crime Agency","35","35","46360","47380"
"In post","2023","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Communications","National Savings and Investments","25","25","46220","44200"
"In post","2023","Communications","Northern Ireland Office","10","10","[c]","[c]"
"In post","2023","Communications","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Office for Standards in Education, Children's Services and Skills","35","35","45260","41050"
"In post","2023","Communications","Office of Gas and Electricity Markets","65","65","46870","43650"
"In post","2023","Communications","Office of Qualifications and Examinations Regulation","15","15","41740","34690"
"In post","2023","Communications","Office of Rail and Road","20","20","46740","40830"
"In post","2023","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","10","10","[c]","[c]"
"In post","2023","Communications","Office of the Secretary of State for Wales","5","5","[c]","[c]"
"In post","2023","Communications","Planning Inspectorate","10","10","[c]","[c]"
"In post","2023","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Registers of Scotland","20","20","40740","39590"
"In post","2023","Communications","Rural Payments Agency","60","50","34340","31020"
"In post","2023","Communications","Scottish Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2023","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Serious Fraud Office","10","10","41570","37510"
"In post","2023","Communications","Submarine Delivery Agency","5","5","[c]","[c]"
"In post","2023","Communications","The Insolvency Service","10","10","45640","44010"
"In post","2023","Communications","The National Archives","20","15","36400","33580"
"In post","2023","Communications","UK Export Finance","75","75","57400","53250"
"In post","2023","Communications","UK Health Security Agency","80","80","50700","46260"
"In post","2023","Communications","UK Hydrographic Office","15","15","44300","43890"
"In post","2023","Communications","UK Space Agency","10","10","45120","41360"
"In post","2023","Communications","UK Statistics Authority","75","70","42280","37760"
"In post","2023","Communications","UK Supreme Court","10","10","[c]","[c]"
"In post","2023","Communications","Valuation Office Agency","50","50","37970","33960"
"In post","2023","Communications","Vehicle Certification Agency","5","5","[c]","[c]"
"In post","2023","Communications","Water Services Regulation Authority","10","10","52210","39050"
"In post","2023","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Building Digital UK","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Cabinet Office (excl. agencies)","145","140","48770","50690"
"In post","2023","Counter Fraud","Companies House","185","170","26170","25610"
"In post","2023","Counter Fraud","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","10","49300","46630"
"In post","2023","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Department for Work and Pensions (excl. agencies)","6540","5905","29320","28120"
"In post","2023","Counter Fraud","Driver and Vehicle Standards Agency","45","45","30820","31310"
"In post","2023","Counter Fraud","Food Standards Agency","45","45","39050","36820"
"In post","2023","Counter Fraud","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","HM Land Registry","5","5","[c]","[c]"
"In post","2023","Counter Fraud","HM Revenue and Customs (excl. agencies)","9645","9110","36680","34700"
"In post","2023","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Ministry of Defence (excl. agencies)","20","20","51450","46470"
"In post","2023","Counter Fraud","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Serious Fraud Office","235","230","47760","41400"
"In post","2023","Counter Fraud","The Insolvency Service","240","230","40620","40250"
"In post","2023","Debt","Department for Work and Pensions (excl. agencies)","2625","2270","23340","21690"
"In post","2023","Debt","HM Revenue and Customs (excl. agencies)","5120","4695","25400","22520"
"In post","2023","Debt","Health and Safety Executive","10","10","[c]","[c]"
"In post","2023","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","65","60","46420","45070"
"In post","2023","Digital, Data & Technology","Animal and Plant Health Agency","30","30","33770","30320"
"In post","2023","Digital, Data & Technology","Building Digital UK","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Cabinet Office (excl. agencies)","1130","1110","52940","56430"
"In post","2023","Digital, Data & Technology","Central Civil Service Fast Stream","155","155","30760","30130"
"In post","2023","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","55","50","34640","30350"
"In post","2023","Digital, Data & Technology","Charity Commission","60","55","36980","31360"
"In post","2023","Digital, Data & Technology","Companies House","255","250","40910","38000"
"In post","2023","Digital, Data & Technology","Competition and Markets Authority","70","70","55870","55130"
"In post","2023","Digital, Data & Technology","Crown Commercial Service","125","125","46050","41230"
"In post","2023","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","65","65","44710","39730"
"In post","2023","Digital, Data & Technology","Crown Prosecution Service","220","215","41020","38940"
"In post","2023","Digital, Data & Technology","Defence Electronics and Components Agency","10","10","[c]","[c]"
"In post","2023","Digital, Data & Technology","Defence Equipment and Support","435","425","38790","34810"
"In post","2023","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","155","155","46840","41920"
"In post","2023","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","20","20","60820","56260"
"In post","2023","Digital, Data & Technology","Department for Education (excl. agencies)","940","915","43390","38210"
"In post","2023","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","925","900","44220","49400"
"In post","2023","Digital, Data & Technology","Department for International Trade","210","205","51250","52000"
"In post","2023","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","175","170","51730","54630"
"In post","2023","Digital, Data & Technology","Department for Transport (excl. agencies)","115","110","45000","41410"
"In post","2023","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","4270","4100","43460","38470"
"In post","2023","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","45","45","53780","54690"
"In post","2023","Digital, Data & Technology","Driver and Vehicle Licensing Agency","760","750","42950","40180"
"In post","2023","Digital, Data & Technology","Driver and Vehicle Standards Agency","220","215","37600","32630"
"In post","2023","Digital, Data & Technology","Education and Skills Funding Agency","120","120","42650","38210"
"In post","2023","Digital, Data & Technology","FCDO Services","105","105","45370","43980"
"In post","2023","Digital, Data & Technology","Food Standards Agency","55","55","45950","41200"
"In post","2023","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","360","355","45430","42660"
"In post","2023","Digital, Data & Technology","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Government Internal Audit Agency","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Government Legal Department","15","15","64030","69800"
"In post","2023","Digital, Data & Technology","HM Courts and Tribunals Service","385","380","42500","37680"
"In post","2023","Digital, Data & Technology","HM Land Registry","700","665","39580","39460"
"In post","2023","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","3965","3855","43730","41780"
"In post","2023","Digital, Data & Technology","HM Treasury (excl. agencies)","20","20","47170","46620"
"In post","2023","Digital, Data & Technology","Health and Safety Executive","100","95","40280","35520"
"In post","2023","Digital, Data & Technology","Home Office","1650","1620","47460","43210"
"In post","2023","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","30","25","49280","51460"
"In post","2023","Digital, Data & Technology","Intellectual Property Office","255","250","48430","47390"
"In post","2023","Digital, Data & Technology","Maritime and Coastguard Agency","85","85","38400","31940"
"In post","2023","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","80","80","52290","54090"
"In post","2023","Digital, Data & Technology","Met Office","1495","1425","38630","38500"
"In post","2023","Digital, Data & Technology","Ministry of Defence (excl. agencies)","2635","2575","36130","33990"
"In post","2023","Digital, Data & Technology","Ministry of Justice (excl. agencies)","1045","1025","49480","51770"
"In post","2023","Digital, Data & Technology","National Crime Agency","265","255","44670","42240"
"In post","2023","Digital, Data & Technology","National Savings and Investments","15","15","56960","55180"
"In post","2023","Digital, Data & Technology","Northern Ireland Office","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","125","120","44970","41050"
"In post","2023","Digital, Data & Technology","Office of Gas and Electricity Markets","175","175","48310","43650"
"In post","2023","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","30","30","40410","39140"
"In post","2023","Digital, Data & Technology","Office of Rail and Road","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Planning Inspectorate","35","35","44310","42220"
"In post","2023","Digital, Data & Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Registers of Scotland","60","60","41700","39590"
"In post","2023","Digital, Data & Technology","Scottish Courts and Tribunals Service","75","75","39490","33600"
"In post","2023","Digital, Data & Technology","Scottish Prison Service","40","40","44140","42590"
"In post","2023","Digital, Data & Technology","Serious Fraud Office","55","55","45490","41580"
"In post","2023","Digital, Data & Technology","Submarine Delivery Agency","70","65","38260","35700"
"In post","2023","Digital, Data & Technology","The Insolvency Service","55","55","44190","42460"
"In post","2023","Digital, Data & Technology","The National Archives","140","135","42410","42420"
"In post","2023","Digital, Data & Technology","UK Debt Management Office","35","35","56140","57110"
"In post","2023","Digital, Data & Technology","UK Export Finance","55","55","56000","54000"
"In post","2023","Digital, Data & Technology","UK Health Security Agency","325","320","48060","42520"
"In post","2023","Digital, Data & Technology","UK Hydrographic Office","200","195","44170","43890"
"In post","2023","Digital, Data & Technology","UK Space Agency","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","UK Statistics Authority","895","870","42780","38730"
"In post","2023","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","Valuation Office Agency","10","10","46420","40190"
"In post","2023","Digital, Data & Technology","Vehicle Certification Agency","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","Water Services Regulation Authority","25","25","49200","48000"
"In post","2023","Digital, Data & Technology","Welsh Revenue Authority","10","10","47480","52910"
"In post","2023","Digital, Data & Technology","Wilton Park","5","5","[c]","[c]"
"In post","2023","Finance","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Advisory, Conciliation and Arbitration Service","20","20","37480","26260"
"In post","2023","Finance","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Building Digital UK","15","15","49730","53010"
"In post","2023","Finance","Cabinet Office (excl. agencies)","95","95","48290","44370"
"In post","2023","Finance","Central Civil Service Fast Stream","90","90","31290","30130"
"In post","2023","Finance","Centre for Environment, Fisheries and Aquaculture Science","10","10","[c]","[c]"
"In post","2023","Finance","Charity Commission","10","10","[c]","[c]"
"In post","2023","Finance","Companies House","80","70","33100","29710"
"In post","2023","Finance","Competition and Markets Authority","15","15","48390","44670"
"In post","2023","Finance","Crown Commercial Service","35","35","50460","47920"
"In post","2023","Finance","Crown Office and Procurator Fiscal Service","25","25","42120","42540"
"In post","2023","Finance","Crown Prosecution Service","105","100","35580","31180"
"In post","2023","Finance","Defence Electronics and Components Agency","5","5","[c]","[c]"
"In post","2023","Finance","Defence Equipment and Support","445","430","40600","32920"
"In post","2023","Finance","Defence Science and Technology Laboratory","55","50","42910","49260"
"In post","2023","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","130","54250","54800"
"In post","2023","Finance","Department for Digital, Culture, Media and Sport (excl. agencies)","80","80","54920","53030"
"In post","2023","Finance","Department for Education (excl. agencies)","435","420","44780","41720"
"In post","2023","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","430","415","43550","38140"
"In post","2023","Finance","Department for International Trade","90","90","50940","55340"
"In post","2023","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","120","120","51730","52070"
"In post","2023","Finance","Department for Transport (excl. agencies)","140","140","54010","55740"
"In post","2023","Finance","Department for Work and Pensions (excl. agencies)","2090","1965","40080","38470"
"In post","2023","Finance","Department of Health and Social Care (excl. agencies)","245","240","47040","42480"
"In post","2023","Finance","Driver and Vehicle Licensing Agency","140","135","34850","31660"
"In post","2023","Finance","Driver and Vehicle Standards Agency","95","95","38220","34590"
"In post","2023","Finance","Education and Skills Funding Agency","220","210","44560","38210"
"In post","2023","Finance","Estyn","5","5","[c]","[c]"
"In post","2023","Finance","FCDO Services","50","50","40820","33840"
"In post","2023","Finance","Food Standards Agency","50","50","43660","38100"
"In post","2023","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","545","525","41140","36620"
"In post","2023","Finance","Government Actuary's Department","10","10","[c]","[c]"
"In post","2023","Finance","Government Internal Audit Agency","10","10","49230","48780"
"In post","2023","Finance","Government Legal Department","45","45","40510","31640"
"In post","2023","Finance","HM Courts and Tribunals Service","155","150","41280","37680"
"In post","2023","Finance","HM Land Registry","50","50","50650","46650"
"In post","2023","Finance","HM Revenue and Customs (excl. agencies)","2995","2710","35570","29730"
"In post","2023","Finance","HM Treasury (excl. agencies)","80","80","47690","53550"
"In post","2023","Finance","Health and Safety Executive","35","35","49360","46780"
"In post","2023","Finance","Home Office","275","265","50130","46980"
"In post","2023","Finance","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2023","Finance","Intellectual Property Office","30","25","43540","42620"
"In post","2023","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Maritime and Coastguard Agency","40","40","38250","31950"
"In post","2023","Finance","Medicines and Healthcare Products Regulatory Agency","35","35","43120","41190"
"In post","2023","Finance","Met Office","25","20","36410","33050"
"In post","2023","Finance","Ministry of Defence (excl. agencies)","1740","1680","40450","35830"
"In post","2023","Finance","Ministry of Justice (excl. agencies)","580","565","44620","41510"
"In post","2023","Finance","National Crime Agency","60","55","40480","38640"
"In post","2023","Finance","National Savings and Investments","25","20","53540","47250"
"In post","2023","Finance","Northern Ireland Office","10","10","40580","39520"
"In post","2023","Finance","Office for Standards in Education, Children's Services and Skills","35","35","44780","37090"
"In post","2023","Finance","Office of Gas and Electricity Markets","45","45","46070","43500"
"In post","2023","Finance","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2023","Finance","Office of Rail and Road","10","10","[c]","[c]"
"In post","2023","Finance","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Planning Inspectorate","15","15","38230","33450"
"In post","2023","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
