"Status","Year","Age","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared non-disabled","Welsh Government","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Attorney General's Departments","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Cabinet Office","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Education","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Transport","40","35","21600","20750"
"In post","2023","16-19","Unknown","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","HM Land Registry","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","HM Revenue and Customs","80","80","23250","22520"
"In post","2023","16-19","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Home Office","135","125","23960","22400"
"In post","2023","16-19","Unknown","Ministry of Defence","190","190","20170","19430"
"In post","2023","16-19","Unknown","Ministry of Justice","125","120","25530","23230"
"In post","2023","16-19","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Government","50","45","23060","22180"
"In post","2023","16-19","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","UK Statistics Authority","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Attorney General's Departments","145","145","29510","26900"
"In post","2023","20-29","Declared disabled","Cabinet Office","445","440","34050","30130"
"In post","2023","20-29","Declared disabled","Chancellor's other departments","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Charity Commission","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Competition and Markets Authority","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","235","235","38270","37420"
"In post","2023","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","70","70","39180","35620"
"In post","2023","20-29","Declared disabled","Department for Education","105","105","38420","37590"
"In post","2023","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","295","290","31190","30320"
"In post","2023","20-29","Declared disabled","Department for International Trade","75","75","39400","36260"
"In post","2023","20-29","Declared disabled","Department for Levelling Up, Housing and Communities","100","100","39140","34980"
"In post","2023","20-29","Declared disabled","Department for Transport","110","110","34390","31660"
"In post","2023","20-29","Declared disabled","Department for Work and Pensions","1135","1100","27770","28120"
"In post","2023","20-29","Declared disabled","Department of Health and Social Care","105","100","35610","33890"
"In post","2023","20-29","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Food Standards Agency","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Foreign, Commonwealth and Development Office","110","110","35930","36230"
"In post","2023","20-29","Declared disabled","HM Land Registry","65","65","26950","26760"
"In post","2023","20-29","Declared disabled","HM Revenue and Customs","570","555","30470","27890"
"In post","2023","20-29","Declared disabled","HM Treasury","90","90","37090","33820"
"In post","2023","20-29","Declared disabled","Home Office","210","205","31080","25980"
"In post","2023","20-29","Declared disabled","Ministry of Defence","630","625","31220","30650"
"In post","2023","20-29","Declared disabled","Ministry of Justice","1460","1430","28390","28400"
"In post","2023","20-29","Declared disabled","National Crime Agency","30","30","38420","36140"
"In post","2023","20-29","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office of Gas and Electricity Markets","45","45","30500","26500"
"In post","2023","20-29","Declared disabled","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Scottish Government","290","285","31840","29450"
"In post","2023","20-29","Declared disabled","The National Archives","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","UK Export Finance","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","UK Statistics Authority","105","100","31980","31560"
"In post","2023","20-29","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Welsh Government","35","35","29780","27890"
"In post","2023","20-29","Declared non-disabled","Attorney General's Departments","1060","1050","31260","27760"
"In post","2023","20-29","Declared non-disabled","Cabinet Office","995","990","38670","35240"
"In post","2023","20-29","Declared non-disabled","Chancellor's other departments","45","45","37290","32940"
"In post","2023","20-29","Declared non-disabled","Charity Commission","25","25","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Competition and Markets Authority","155","150","38480","34110"
"In post","2023","20-29","Declared non-disabled","Department for Business, Energy and Industrial Strategy","1980","1970","38720","37420"
"In post","2023","20-29","Declared non-disabled","Department for Digital, Culture, Media and Sport","465","465","41120","35630"
"In post","2023","20-29","Declared non-disabled","Department for Education","640","635","38780","37590"
"In post","2023","20-29","Declared non-disabled","Department for Environment, Food and Rural Affairs","1630","1620","31860","30320"
"In post","2023","20-29","Declared non-disabled","Department for International Trade","540","540","40840","38050"
"In post","2023","20-29","Declared non-disabled","Department for Levelling Up, Housing and Communities","620","615","40130","37540"
"In post","2023","20-29","Declared non-disabled","Department for Transport","1355","1320","32520","30920"
"In post","2023","20-29","Declared non-disabled","Department for Work and Pensions","6765","6630","28120","28120"
"In post","2023","20-29","Declared non-disabled","Department of Health and Social Care","670","655","34350","32980"
"In post","2023","20-29","Declared non-disabled","Estyn","10","5","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Food Standards Agency","65","65","34270","33000"
"In post","2023","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","620","620","36170","34880"
"In post","2023","20-29","Declared non-disabled","HM Land Registry","395","385","28750","28080"
"In post","2023","20-29","Declared non-disabled","HM Revenue and Customs","6340","6240","30880","27890"
"In post","2023","20-29","Declared non-disabled","HM Treasury","585","580","38980","33820"
"In post","2023","20-29","Declared non-disabled","Home Office","2175","2130","31380","26400"
"In post","2023","20-29","Declared non-disabled","Ministry of Defence","3850","3825","32330","31920"
"In post","2023","20-29","Declared non-disabled","Ministry of Justice","11190","11005","28890","28880"
"In post","2023","20-29","Declared non-disabled","National Crime Agency","55","55","37590","36040"
"In post","2023","20-29","Declared non-disabled","Northern Ireland Office","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","150","145","30250","27140"
"In post","2023","20-29","Declared non-disabled","Office of Gas and Electricity Markets","320","315","32340","30950"
"In post","2023","20-29","Declared non-disabled","Office of Qualifications and Examinations Regulation","40","40","31170","31310"
"In post","2023","20-29","Declared non-disabled","Office of Rail and Road","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Office of the Secretary of State for Scotland","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Scottish Government","2090","2065","31600","29450"
"In post","2023","20-29","Declared non-disabled","The National Archives","50","50","31910","29840"
"In post","2023","20-29","Declared non-disabled","UK Export Finance","115","115","40530","37150"
"In post","2023","20-29","Declared non-disabled","UK Statistics Authority","525","510","32690","31560"
"In post","2023","20-29","Declared non-disabled","UK Supreme Court","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Water Services Regulation Authority","35","35","35550","34530"
"In post","2023","20-29","Declared non-disabled","Welsh Government","400","395","29990","27890"
"In post","2023","20-29","Undeclared","Attorney General's Departments","30","30","[c]","[c]"
"In post","2023","20-29","Undeclared","Cabinet Office","70","70","39040","35650"
"In post","2023","20-29","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Department for Business, Energy and Industrial Strategy","70","70","40870","41060"
"In post","2023","20-29","Undeclared","Department for Digital, Culture, Media and Sport","35","35","38310","35620"
"In post","2023","20-29","Undeclared","Department for Education","55","55","37280","37590"
"In post","2023","20-29","Undeclared","Department for Environment, Food and Rural Affairs","100","95","31090","29150"
"In post","2023","20-29","Undeclared","Department for International Trade","15","15","[c]","[c]"
"In post","2023","20-29","Undeclared","Department for Levelling Up, Housing and Communities","45","40","38520","37540"
"In post","2023","20-29","Undeclared","Department for Transport","110","110","33890","31350"
"In post","2023","20-29","Undeclared","Department for Work and Pensions","360","350","28070","28120"
"In post","2023","20-29","Undeclared","Department of Health and Social Care","135","135","37140","33420"
"In post","2023","20-29","Undeclared","Food Standards Agency","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2023","20-29","Undeclared","HM Land Registry","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","HM Revenue and Customs","300","300","31870","28130"
"In post","2023","20-29","Undeclared","HM Treasury","155","155","38540","33820"
"In post","2023","20-29","Undeclared","Home Office","35","35","33380","30080"
"In post","2023","20-29","Undeclared","Ministry of Defence","165","165","32710","31920"
"In post","2023","20-29","Undeclared","Ministry of Justice","500","490","28810","28880"
"In post","2023","20-29","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Office of Rail and Road","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","Scottish Government","45","45","30540","29450"
"In post","2023","20-29","Undeclared","UK Export Finance","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","UK Statistics Authority","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Welsh Government","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Attorney General's Departments","490","485","30640","26900"
"In post","2023","20-29","Unknown","Cabinet Office","1475","1470","32430","30130"
"In post","2023","20-29","Unknown","Chancellor's other departments","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","Charity Commission","40","40","26550","25300"
"In post","2023","20-29","Unknown","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Department for Business, Energy and Industrial Strategy","830","825","37200","34670"
"In post","2023","20-29","Unknown","Department for Digital, Culture, Media and Sport","95","95","37940","35620"
"In post","2023","20-29","Unknown","Department for Education","780","775","35840","33950"
"In post","2023","20-29","Unknown","Department for Environment, Food and Rural Affairs","380","370","31180","29080"
"In post","2023","20-29","Unknown","Department for International Trade","525","525","41250","41550"
"In post","2023","20-29","Unknown","Department for Levelling Up, Housing and Communities","170","170","37690","34310"
"In post","2023","20-29","Unknown","Department for Transport","680","670","31320","27260"
"In post","2023","20-29","Unknown","Department for Work and Pensions","750","740","29470","28120"
"In post","2023","20-29","Unknown","Department of Health and Social Care","1300","1285","37080","34190"
"In post","2023","20-29","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Food Standards Agency","55","55","34380","31400"
"In post","2023","20-29","Unknown","Foreign, Commonwealth and Development Office","830","830","38080","36620"
"In post","2023","20-29","Unknown","HM Land Registry","555","540","27320","28080"
"In post","2023","20-29","Unknown","HM Revenue and Customs","4255","4165","28870","27890"
"In post","2023","20-29","Unknown","HM Treasury","105","105","39970","34510"
"In post","2023","20-29","Unknown","Home Office","5370","5310","28420","25880"
"In post","2023","20-29","Unknown","Ministry of Defence","3240","3225","30040","27540"
"In post","2023","20-29","Unknown","Ministry of Justice","4550","4450","28600","28880"
"In post","2023","20-29","Unknown","National Crime Agency","675","670","36140","36040"
"In post","2023","20-29","Unknown","Northern Ireland Office","15","15","[c]","[c]"
"In post","2023","20-29","Unknown","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","Office of Gas and Electricity Markets","20","20","[c]","[c]"
"In post","2023","20-29","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Office of the Secretary of State for Scotland","20","20","[c]","[c]"
"In post","2023","20-29","Unknown","Office of the Secretary of State for Wales","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Scottish Government","2190","2155","29730","29100"
"In post","2023","20-29","Unknown","The National Archives","30","30","26080","24990"
"In post","2023","20-29","Unknown","UK Statistics Authority","630","615","32680","31560"
"In post","2023","20-29","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","Welsh Government","110","105","28870","26900"
"In post","2023","30-39","Declared disabled","Attorney General's Departments","170","165","43590","45230"
"In post","2023","30-39","Declared disabled","Cabinet Office","310","305","44920","40450"
"In post","2023","30-39","Declared disabled","Chancellor's other departments","10","10","[c]","[c]"
"In post","2023","30-39","Declared disabled","Charity Commission","10","10","[c]","[c]"
"In post","2023","30-39","Declared disabled","Competition and Markets Authority","15","15","[c]","[c]"
"In post","2023","30-39","Declared disabled","Department for Business, Energy and Industrial Strategy","345","335","41280","40040"
"In post","2023","30-39","Declared disabled","Department for Digital, Culture, Media and Sport","60","60","48930","52760"
"In post","2023","30-39","Declared disabled","Department for Education","205","200","44150","41440"
"In post","2023","30-39","Declared disabled","Department for Environment, Food and Rural Affairs","370","355","37250","33830"
"In post","2023","30-39","Declared disabled","Department for International Trade","70","70","49250","52140"
"In post","2023","30-39","Declared disabled","Department for Levelling Up, Housing and Communities","125","120","45100","40800"
"In post","2023","30-39","Declared disabled","Department for Transport","205","190","33050","26960"
"In post","2023","30-39","Declared disabled","Department for Work and Pensions","2100","1940","29350","28120"
"In post","2023","30-39","Declared disabled","Department of Health and Social Care","130","125","43730","41370"
"In post","2023","30-39","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Food Standards Agency","35","35","42310","38380"
"In post","2023","30-39","Declared disabled","Foreign, Commonwealth and Development Office","135","135","46940","44450"
"In post","2023","30-39","Declared disabled","HM Land Registry","95","90","28650","28080"
"In post","2023","30-39","Declared disabled","HM Revenue and Customs","1120","1070","36110","34700"
"In post","2023","30-39","Declared disabled","HM Treasury","75","70","49410","54090"
"In post","2023","30-39","Declared disabled","Home Office","565","540","33900","29750"
"In post","2023","30-39","Declared disabled","Ministry of Defence","975","945","38000","35600"
"In post","2023","30-39","Declared disabled","Ministry of Justice","2320","2205","31340","30410"
"In post","2023","30-39","Declared disabled","National Crime Agency","55","50","37850","38310"
"In post","2023","30-39","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Office for Standards in Education, Children's Services and Skills","30","30","41600","40650"
"In post","2023","30-39","Declared disabled","Office of Gas and Electricity Markets","40","40","40570","34470"
"In post","2023","30-39","Declared disabled","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2023","30-39","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Office of the Secretary of State for Scotland","5","5","[c]","[c]"
"In post","2023","30-39","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Scottish Government","560","535","37200","34730"
"In post","2023","30-39","Declared disabled","The National Archives","5","5","[c]","[c]"
"In post","2023","30-39","Declared disabled","UK Export Finance","10","10","[c]","[c]"
"In post","2023","30-39","Declared disabled","UK Statistics Authority","145","130","35400","33660"
"In post","2023","30-39","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Declared disabled","Welsh Government","60","55","38490","35560"
"In post","2023","30-39","Declared non-disabled","Attorney General's Departments","1540","1460","46300","51270"
"In post","2023","30-39","Declared non-disabled","Cabinet Office","1575","1540","51370","56000"
"In post","2023","30-39","Declared non-disabled","Chancellor's other departments","100","100","60680","50360"
"In post","2023","30-39","Declared non-disabled","Charity Commission","65","65","33870","30170"
"In post","2023","30-39","Declared non-disabled","Competition and Markets Authority","280","270","61640","60400"
"In post","2023","30-39","Declared non-disabled","Department for Business, Energy and Industrial Strategy","2630","2540","45530","42880"
"In post","2023","30-39","Declared non-disabled","Department for Digital, Culture, Media and Sport","555","545","52360","53030"
"In post","2023","30-39","Declared non-disabled","Department for Education","1400","1340","46530","46600"
"In post","2023","30-39","Declared non-disabled","Department for Environment, Food and Rural Affairs","2050","1965","37720","37300"
"In post","2023","30-39","Declared non-disabled","Department for International Trade","465","455","52020","55370"
"In post","2023","30-39","Declared non-disabled","Department for Levelling Up, Housing and Communities","805","780","49520","49940"
"In post","2023","30-39","Declared non-disabled","Department for Transport","2455","2315","35760","31350"
"In post","2023","30-39","Declared non-disabled","Department for Work and Pensions","10400","9600","30000","28120"
"In post","2023","30-39","Declared non-disabled","Department of Health and Social Care","1115","1060","45220","41480"
"In post","2023","30-39","Declared non-disabled","Estyn","15","15","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","Food Standards Agency","175","170","39680","38100"
"In post","2023","30-39","Declared non-disabled","Foreign, Commonwealth and Development Office","1060","1045","46990","44450"
"In post","2023","30-39","Declared non-disabled","HM Land Registry","525","495","32180","28080"
"In post","2023","30-39","Declared non-disabled","HM Revenue and Customs","10560","10155","36570","34700"
"In post","2023","30-39","Declared non-disabled","HM Treasury","540","530","54700","54440"
"In post","2023","30-39","Declared non-disabled","Home Office","6015","5685","34400","30200"
"In post","2023","30-39","Declared non-disabled","Ministry of Defence","6435","6215","38630","38680"
"In post","2023","30-39","Declared non-disabled","Ministry of Justice","14770","14055","32630","31310"
"In post","2023","30-39","Declared non-disabled","National Crime Agency","290","285","43190","41910"
"In post","2023","30-39","Declared non-disabled","Northern Ireland Office","30","30","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","370","360","46650","41050"
"In post","2023","30-39","Declared non-disabled","Office of Gas and Electricity Markets","500","495","46940","45610"
"In post","2023","30-39","Declared non-disabled","Office of Qualifications and Examinations Regulation","75","70","43090","39140"
"In post","2023","30-39","Declared non-disabled","Office of Rail and Road","30","25","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","Office of the Secretary of State for Scotland","10","10","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","Scottish Government","3185","3065","40010","36330"
"In post","2023","30-39","Declared non-disabled","The National Archives","90","90","37090","35470"
"In post","2023","30-39","Declared non-disabled","UK Export Finance","95","95","55930","54000"
"In post","2023","30-39","Declared non-disabled","UK Statistics Authority","720","675","39480","37760"
"In post","2023","30-39","Declared non-disabled","UK Supreme Court","10","10","[c]","[c]"
"In post","2023","30-39","Declared non-disabled","Water Services Regulation Authority","45","45","50380","47460"
"In post","2023","30-39","Declared non-disabled","Welsh Government","1025","970","40100","39690"
"In post","2023","30-39","Undeclared","Attorney General's Departments","50","50","48010","52400"
"In post","2023","30-39","Undeclared","Cabinet Office","110","105","48190","51290"
"In post","2023","30-39","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Undeclared","Department for Business, Energy and Industrial Strategy","135","130","47440","46510"
"In post","2023","30-39","Undeclared","Department for Digital, Culture, Media and Sport","40","40","52300","53030"
"In post","2023","30-39","Undeclared","Department for Education","125","125","46070","42710"
"In post","2023","30-39","Undeclared","Department for Environment, Food and Rural Affairs","115","110","37120","37300"
"In post","2023","30-39","Undeclared","Department for International Trade","20","20","[c]","[c]"
"In post","2023","30-39","Undeclared","Department for Levelling Up, Housing and Communities","60","60","47700","54630"
"In post","2023","30-39","Undeclared","Department for Transport","230","220","37140","31660"
"In post","2023","30-39","Undeclared","Department for Work and Pensions","905","845","29620","28120"
"In post","2023","30-39","Undeclared","Department of Health and Social Care","275","260","45510","41870"
"In post","2023","30-39","Undeclared","Food Standards Agency","85","85","38000","37910"
