"Status","Year","Disability","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Department of Health and Social Care","Outside London","Male","85","85","46520","38910"
"In post","2023","Declared disabled","Department of Health and Social Care","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","Female","60","60","40420","38380"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","Male","60","60","37170","31730"
"In post","2023","Declared disabled","Food Standards Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","London","Female","190","185","48200","42450"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","London","Male","165","165","49840","44450"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","Female","65","65","35870","32750"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","Male","65","60","37870","35250"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","Female","55","55","48150","45150"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","Male","85","85","49090","42850"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","London","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","Outside London","Female","430","375","30260","28080"
"In post","2023","Declared disabled","HM Land Registry","Outside London","Male","235","215","31340","28080"
"In post","2023","Declared disabled","HM Land Registry","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Revenue and Customs","London","Female","505","475","44360","39790"
"In post","2023","Declared disabled","HM Revenue and Customs","London","Male","415","395","48610","42060"
"In post","2023","Declared disabled","HM Revenue and Customs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Revenue and Customs","Outside London","Female","3310","2910","33000","29440"
"In post","2023","Declared disabled","HM Revenue and Customs","Outside London","Male","2450","2310","33610","29730"
"In post","2023","Declared disabled","HM Revenue and Customs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","London","Female","120","115","45490","41360"
"In post","2023","Declared disabled","HM Treasury","London","Male","85","85","50470","53550"
"In post","2023","Declared disabled","HM Treasury","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","Outside London","Female","40","40","41100","35550"
"In post","2023","Declared disabled","HM Treasury","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","London","Female","665","610","39870","36180"
"In post","2023","Declared disabled","Home Office","London","Male","520","500","42360","36310"
"In post","2023","Declared disabled","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Outside London","Female","1090","980","29750","26110"
"In post","2023","Declared disabled","Home Office","Outside London","Male","930","885","29930","26180"
"In post","2023","Declared disabled","Home Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","London","Female","195","195","44400","40180"
"In post","2023","Declared disabled","Ministry of Defence","London","Male","230","225","44860","39470"
"In post","2023","Declared disabled","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Outside London","Female","2465","2325","34280","31920"
"In post","2023","Declared disabled","Ministry of Defence","Outside London","Male","2880","2805","36880","34300"
"In post","2023","Declared disabled","Ministry of Defence","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Overseas","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice","London","Female","1270","1205","36740","33490"
"In post","2023","Declared disabled","Ministry of Justice","London","Male","660","640","39320","35650"
"In post","2023","Declared disabled","Ministry of Justice","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice","Outside London","Female","6555","6000","29790","26840"
"In post","2023","Declared disabled","Ministry of Justice","Outside London","Male","3815","3600","31810","30440"
"In post","2023","Declared disabled","Ministry of Justice","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","London","Female","35","35","46090","42240"
"In post","2023","Declared disabled","National Crime Agency","London","Male","40","40","43710","42240"
"In post","2023","Declared disabled","National Crime Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Outside London","Female","100","95","37210","36990"
"In post","2023","Declared disabled","National Crime Agency","Outside London","Male","95","90","41240","39070"
"In post","2023","Declared disabled","National Crime Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Crime Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","Female","100","95","47050","52290"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","Male","35","35","47980","40640"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","London","Female","35","35","45060","35530"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","London","Male","30","30","41360","33400"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Outside London","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Outside London","Male","35","35","35680","29380"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","Female","30","30","41090","37900"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","London","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of Rail and Road","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","Outside London","Female","1255","1175","38600","34220"
"In post","2023","Declared disabled","Scottish Government","Outside London","Male","980","935","38890","37060"
"In post","2023","Declared disabled","Scottish Government","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","London","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","The National Archives","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","London","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","Outside London","Female","375","330","33550","31560"
"In post","2023","Declared disabled","UK Statistics Authority","Outside London","Male","230","205","33860","31560"
"In post","2023","Declared disabled","UK Statistics Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","Outside London","Female","210","195","41310","39690"
"In post","2023","Declared disabled","Welsh Government","Outside London","Male","145","140","41740","39690"
"In post","2023","Declared disabled","Welsh Government","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Departments","London","Female","2160","1995","50730","52790"
"In post","2023","Declared non-disabled","Attorney General's Departments","London","Male","1220","1200","52130","52020"
"In post","2023","Declared non-disabled","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Departments","Outside London","Female","2620","2370","40040","33300"
"In post","2023","Declared non-disabled","Attorney General's Departments","Outside London","Male","1310","1275","45630","49050"
"In post","2023","Declared non-disabled","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office","London","Female","1520","1475","54930","56430"
"In post","2023","Declared non-disabled","Cabinet Office","London","Male","1465","1455","60250","56430"
