"Status","Year","Organisation","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","EO","25","25","26120","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","G6/G7","15","15","53090","50720"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","SEO/HEO","35","35","34380","32600"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","AA/AO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","EO","40","40","27280","26850"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","SEO/HEO","90","85","35500","35060"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","EO","40","35","31620","32720"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","G6/G7","15","15","58770","57070"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","SEO/HEO","30","30","38660","38060"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","AA/AO","15","10","22150","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","EO","15","10","26510","26280"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","G6/G7","10","10","52420","49400"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","SEO/HEO","20","20","35960","33150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","AA/AO","155","145","22270","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","EO","80","75","26450","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","G6/G7","20","20","54360","51470"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","SEO/HEO","70","65","34810","32260"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","AA/AO","45","40","22220","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","EO","35","35","26380","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","G6/G7","20","20","53510","49400"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","SEO/HEO","50","50","36200","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","AA/AO","190","180","25250","25340"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","EO","220","210","28760","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","G6/G7","70","70","57740","54950"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","SEO/HEO","300","290","36850","34750"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","AA/AO","185","175","22170","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","EO","125","120","26170","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","G6/G7","40","35","54250","53850"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","SEO/HEO","135","130","35550","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","AA/AO","135","125","22140","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","EO","75","70","26210","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","G6/G7","25","25","54570","52300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","SEO/HEO","100","95","35100","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","AA/AO","100","90","22210","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","EO","75","75","26210","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","G6/G7","25","25","53160","51210"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","SEO/HEO","110","105","35060","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","AA/AO","100","100","23430","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","EO","100","95","26550","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","G6/G7","25","25","53360","51290"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","SEO/HEO","80","80","33810","31070"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","London","G6/G7","20","20","64530","66620"
"In post","2023","Attorney General's Office","Attorney General's Departments","London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","London","SEO/HEO","15","15","37870","38330"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","EO","15","15","27780","27230"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","G6/G7","70","70","57500","55770"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","SCS level","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","London","SEO/HEO","45","45","36390","35620"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","North East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","North West (England)","EO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","North West (England)","G6/G7","30","30","54450","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","North West (England)","SEO/HEO","25","25","33800","31880"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Northern Ireland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Wales","G6/G7","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East of England","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East of England","G6/G7","25","25","56460","53650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","East of England","SEO/HEO","20","20","36680","35500"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","London","AA/AO","95","95","25280","25280"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","London","EO","345","335","28810","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","London","G6/G7","1685","1650","60420","57470"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","London","SCS level","380","370","95360","84190"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","London","SEO/HEO","1055","1040","39190","40600"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","AA/AO","125","110","21720","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","EO","80","75","25350","24860"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","G6/G7","25","25","54710","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","SEO/HEO","105","105","34790","33020"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","AA/AO","15","15","21810","21830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","EO","20","20","25320","24860"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","G6/G7","125","125","54190","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","SEO/HEO","130","125","36440","38050"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","AA/AO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","AA/AO","50","50","21700","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","EO","60","55","25160","24610"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","G6/G7","80","80","55730","52790"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","SCS level","15","15","84840","80220"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","SEO/HEO","185","180","34640","33020"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","AA/AO","25","25","22100","21830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","EO","10","10","27920","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","G6/G7","10","10","59510","59610"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","SEO/HEO","65","65","36070","35370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","EO","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","G6/G7","70","70","54960","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","SEO/HEO","65","65","36210","35580"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","EO","50","50","25130","24610"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","G6/G7","50","50","58020","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","SEO/HEO","55","55","36280","35740"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Wales","G6/G7","25","20","53090","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Wales","SEO/HEO","20","20","36830","38050"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","G6/G7","25","25","56950","56510"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","SCS level","15","15","105820","1e+05"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","SEO/HEO","15","15","34800","33020"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","AA/AO","100","90","21800","21830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","EO","165","155","25930","25970"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","G6/G7","140","130","55470","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","SCS level","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","SEO/HEO","285","275","35950","34320"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","East Midlands (England)","SEO/HEO","20","20","31100","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","London","SEO/HEO","1190","1185","30770","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","North East (England)","SEO/HEO","40","40","30620","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","North West (England)","SEO/HEO","115","115","30510","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Scotland","SEO/HEO","50","50","30820","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","South East (England)","SEO/HEO","25","25","30730","28840"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","South West (England)","SEO/HEO","40","40","30280","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Wales","SEO/HEO","35","35","30880","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","West Midlands (England)","SEO/HEO","50","50","30610","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Yorkshire and The Humber","SEO/HEO","85","85","30500","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","AA/AO","20","15","21660","22150"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","EO","90","85","25990","25920"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","G6/G7","100","100","52600","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","SEO/HEO","260","245","34060","31480"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","EO","55","50","25990","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","G6/G7","30","30","53070","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","SEO/HEO","85","85","33240","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","London","G6/G7","30","30","57390","53180"
"In post","2023","Charity Commission","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","London","SEO/HEO","40","40","34620","32150"
"In post","2023","Charity Commission","Charity Commission","North West (England)","AA/AO","20","15","21500","21100"
"In post","2023","Charity Commission","Charity Commission","North West (England)","EO","110","105","25600","25300"
"In post","2023","Charity Commission","Charity Commission","North West (England)","G6/G7","45","40","56070","52240"
"In post","2023","Charity Commission","Charity Commission","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","North West (England)","SEO/HEO","205","200","33590","30170"
