"Status","Year","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Crown Commercial Service","London","Male","35","35","56380","57000"
"In post","2023","Crown Commercial Service","Outside London","Female","390","370","39070","39860"
"In post","2023","Crown Commercial Service","Outside London","Male","310","305","41610","40450"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","Female","1740","1615","39450","33120"
"In post","2023","Crown Office and Procurator Fiscal Service","Outside London","Male","715","695","41220","34730"
"In post","2023","Crown Prosecution Service","London","Female","1240","1160","44390","40540"
"In post","2023","Crown Prosecution Service","London","Male","630","615","47160","40800"
"In post","2023","Crown Prosecution Service","Outside London","Female","3825","3495","39050","32210"
"In post","2023","Crown Prosecution Service","Outside London","Male","1820","1770","44360","49050"
"In post","2023","Crown Prosecution Service","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Outside London","Female","75","75","30140","27250"
"In post","2023","Defence Electronics and Components Agency","Outside London","Male","365","355","29950","30060"
"In post","2023","Defence Equipment and Support","London","Female","35","35","31760","28480"
"In post","2023","Defence Equipment and Support","London","Male","145","140","29720","26550"
"In post","2023","Defence Equipment and Support","Outside London","Female","3715","3465","37160","33570"
"In post","2023","Defence Equipment and Support","Outside London","Male","6780","6640","40670","39460"
"In post","2023","Defence Equipment and Support","Overseas","Female","5","5","[c]","[c]"
"In post","2023","Defence Equipment and Support","Overseas","Male","35","35","56430","58070"
"In post","2023","Defence Science and Technology Laboratory","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Outside London","Female","1805","1700","40360","39890"
"In post","2023","Defence Science and Technology Laboratory","Outside London","Male","3150","3075","43800","40780"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","2480","2395","51260","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","2495","2465","53030","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","690","670","42380","37750"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","625","620","44660","38900"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Female","845","820","49730","52760"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Male","655","655","51050","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Female","105","100","40660","35620"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Male","105","105","43880","37010"
"In post","2023","Department for Education (excl. agencies)","London","Female","1355","1280","51710","55020"
"In post","2023","Department for Education (excl. agencies)","London","Male","775","765","53330","55020"
"In post","2023","Department for Education (excl. agencies)","Outside London","Female","2975","2820","41980","37590"
"In post","2023","Department for Education (excl. agencies)","Outside London","Male","2060","2035","44700","39600"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","1375","1325","46080","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","1175","1160","46880","41090"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","2120","1995","40790","37300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","1660","1635","43190","38090"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","London","Female","1340","1320","48300","42460"
"In post","2023","Department for International Trade","London","Male","1350","1340","50220","44520"
"In post","2023","Department for International Trade","Outside London","Female","335","320","42070","39700"
"In post","2023","Department for International Trade","Outside London","Male","335","330","44260","42170"
"In post","2023","Department for International Trade","Overseas","Female","50","50","55940","54040"
"In post","2023","Department for International Trade","Overseas","Male","125","125","58140","56140"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","1090","1055","50980","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","1025","1015","51290","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Female","635","605","41880","37540"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Male","505","500","43010","38310"
"In post","2023","Department for Transport (excl. agencies)","London","Female","1330","1290","51410","47420"
"In post","2023","Department for Transport (excl. agencies)","London","Male","1685","1655","52770","55190"
"In post","2023","Department for Transport (excl. agencies)","Outside London","Female","365","345","40470","39430"
"In post","2023","Department for Transport (excl. agencies)","Outside London","Male","410","400","50220","41330"
"In post","2023","Department for Transport (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","Female","5780","5200","35350","32520"
"In post","2023","Department for Work and Pensions (excl. agencies)","London","Male","3265","3175","37590","32520"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","Female","48610","41500","28060","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Outside London","Male","26945","25735","29660","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","Female","190","180","33660","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","Male","150","145","34450","28120"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","Female","1575","1510","50070","46000"
"In post","2023","Department of Health and Social Care (excl. agencies)","London","Male","810","800","52540","54660"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","Female","795","750","46090","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","Outside London","Male","490","475","48320","50830"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","Outside London","Female","190","175","31590","27740"
"In post","2023","Disclosure Scotland","Outside London","Male","180","170","31050","24890"
"In post","2023","Driver and Vehicle Licensing Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","Female","3715","3110","25470","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Outside London","Male","2510","2420","30170","22500"
"In post","2023","Driver and Vehicle Standards Agency","London","Female","80","75","32580","31400"
"In post","2023","Driver and Vehicle Standards Agency","London","Male","275","260","33080","31450"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","Female","1435","1310","29690","27400"
"In post","2023","Driver and Vehicle Standards Agency","Outside London","Male","3115","2965","30220","27490"
"In post","2023","Education Scotland","Outside London","Female","255","245","59840","65280"
"In post","2023","Education Scotland","Outside London","Male","105","105","59270","58850"
"In post","2023","Education and Skills Funding Agency","London","Female","65","65","46570","42010"
"In post","2023","Education and Skills Funding Agency","London","Male","55","55","51900","46900"
"In post","2023","Education and Skills Funding Agency","Outside London","Female","350","330","40370","37590"
"In post","2023","Education and Skills Funding Agency","Outside London","Male","300","300","42750","38070"
"In post","2023","Estyn","Outside London","Female","70","65","54960","60180"
"In post","2023","Estyn","Outside London","Male","50","50","67010","78500"
"In post","2023","FCDO Services","London","Female","45","40","49780","47230"
"In post","2023","FCDO Services","London","Male","130","125","48890","45400"
"In post","2023","FCDO Services","Outside London","Female","275","260","39360","32750"
"In post","2023","FCDO Services","Outside London","Male","535","520","41310","38920"
"In post","2023","FCDO Services","Overseas","Female","10","10","[c]","[c]"
"In post","2023","FCDO Services","Overseas","Male","115","115","42510","42790"
"In post","2023","Food Standards Agency","London","Female","120","115","46740","41160"
"In post","2023","Food Standards Agency","London","Male","105","105","44430","41160"
"In post","2023","Food Standards Agency","Outside London","Female","615","590","39120","37720"
"In post","2023","Food Standards Agency","Outside London","Male","740","715","36760","31730"
"In post","2023","Food Standards Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Scotland","Outside London","Female","140","130","38760","34730"
"In post","2023","Food Standards Scotland","Outside London","Male","150","145","38700","34730"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","2310","2235","50640","48490"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","2080","2065","53370","53500"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Female","610","580","39080","34950"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Male","500","490","42440","39550"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Female","955","955","53270","53970"
"In post","2023","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Male","1150","1145","53310","54550"
"In post","2023","Forestry and Land Scotland","Outside London","Female","380","360","34260","32220"
"In post","2023","Forestry and Land Scotland","Outside London","Male","725","700","34470","31180"
"In post","2023","Government Actuary's Department","London","Female","80","75","65070","66350"
"In post","2023","Government Actuary's Department","London","Male","120","115","70590","58970"
"In post","2023","Government Actuary's Department","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Government Actuary's Department","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Government Commercial Organisation","London","Female","290","285","74590","67200"
"In post","2023","Government Commercial Organisation","London","Male","355","355","82260","69870"
"In post","2023","Government Commercial Organisation","Outside London","Female","405","395","68490","65910"
"In post","2023","Government Commercial Organisation","Outside London","Male","435","435","73210","67580"
"In post","2023","Government Commercial Organisation","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Government Commercial Organisation","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Government Internal Audit Agency","London","Female","85","80","48150","46200"
"In post","2023","Government Internal Audit Agency","London","Male","95","90","54680","54930"
"In post","2023","Government Internal Audit Agency","Outside London","Female","170","155","46720","43580"
"In post","2023","Government Internal Audit Agency","Outside London","Male","115","110","51440","51350"
"In post","2023","Government Internal Audit Agency","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Government Internal Audit Agency","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Government Legal Department","London","Female","1615","1470","55740","53390"
"In post","2023","Government Legal Department","London","Male","820","800","56220","53540"
"In post","2023","Government Legal Department","Outside London","Female","165","145","54180","52310"
"In post","2023","Government Legal Department","Outside London","Male","80","80","55080","52790"
"In post","2023","Government Property Agency","London","Female","45","40","51380","55790"
"In post","2023","Government Property Agency","London","Male","75","70","54610","56150"
"In post","2023","Government Property Agency","Outside London","Female","130","130","45080","40350"
"In post","2023","Government Property Agency","Outside London","Male","145","140","52670","51020"
"In post","2023","HM Courts and Tribunals Service","London","Female","2535","2325","32480","29660"
"In post","2023","HM Courts and Tribunals Service","London","Male","1340","1305","32720","25480"
"In post","2023","HM Courts and Tribunals Service","Outside London","Female","8575","7440","25930","21780"
"In post","2023","HM Courts and Tribunals Service","Outside London","Male","3360","3220","27100","21780"
"In post","2023","HM Courts and Tribunals Service","Unknown","Female","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","Male","10","10","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","Female","10","10","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","Male","5","5","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Outside London","Female","5","5","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Outside London","Male","5","5","[c]","[c]"
"In post","2023","HM Land Registry","London","Female","215","200","41380","38410"
"In post","2023","HM Land Registry","London","Male","180","175","44470","38410"
"In post","2023","HM Land Registry","Outside London","Female","3865","3415","31230","28080"
"In post","2023","HM Land Registry","Outside London","Male","2455","2310","32970","28080"
"In post","2023","HM Prison and Probation Service","London","Female","4235","4040","36660","33810"
"In post","2023","HM Prison and Probation Service","London","Male","3300","3205","38240","35590"
"In post","2023","HM Prison and Probation Service","Outside London","Female","31725","29530","30660","28880"
"In post","2023","HM Prison and Probation Service","Outside London","Male","26410","25125","32660","32050"
"In post","2023","HM Prison and Probation Service","Unknown","Female","30","30","25990","24320"
"In post","2023","HM Prison and Probation Service","Unknown","Male","40","40","29180","28880"
"In post","2023","HM Revenue and Customs (excl. agencies)","London","Female","4850","4540","45270","39790"
"In post","2023","HM Revenue and Customs (excl. agencies)","London","Male","4765","4625","48210","42060"
"In post","2023","HM Revenue and Customs (excl. agencies)","Outside London","Female","30810","27525","32540","28130"
"In post","2023","HM Revenue and Customs (excl. agencies)","Outside London","Male","27970","27045","34430","29730"
"In post","2023","HM Treasury (excl. agencies)","London","Female","840","820","48600","53550"
"In post","2023","HM Treasury (excl. agencies)","London","Male","895","890","49470","54090"
"In post","2023","HM Treasury (excl. agencies)","Outside London","Female","150","140","37720","30320"
"In post","2023","HM Treasury (excl. agencies)","Outside London","Male","120","120","40130","30840"
"In post","2023","Health and Safety Executive","London","Female","70","65","47360","45170"
"In post","2023","Health and Safety Executive","London","Male","75","70","52370","50250"
"In post","2023","Health and Safety Executive","Outside London","Female","1370","1265","38870","33860"
"In post","2023","Health and Safety Executive","Outside London","Male","1315","1275","47650","44870"
"In post","2023","Home Office","London","Female","7850","7350","39990","36180"
"In post","2023","Home Office","London","Male","6740","6565","42110","36180"
"In post","2023","Home Office","Outside London","Female","14430","13125","28550","25880"
"In post","2023","Home Office","Outside London","Male","13745","13210","29720","26110"
"In post","2023","Home Office","Overseas","Female","65","65","[c]","[c]"
"In post","2023","Home Office","Overseas","Male","85","85","[c]","[c]"
"In post","2023","Home Office","Unknown","Female","85","75","27890","26140"
"In post","2023","Home Office","Unknown","Male","125","110","30210","27010"
"In post","2023","Institute for Apprenticeships and Technical Education","London","Female","70","70","54370","55290"
"In post","2023","Institute for Apprenticeships and Technical Education","London","Male","45","45","56440","55560"
"In post","2023","Institute for Apprenticeships and Technical Education","Outside London","Female","150","145","44370","41220"
"In post","2023","Institute for Apprenticeships and Technical Education","Outside London","Male","75","70","47010","51460"
"In post","2023","Intellectual Property Office","London","Female","25","20","[c]","[c]"
"In post","2023","Intellectual Property Office","London","Male","35","35","54240","54130"
"In post","2023","Intellectual Property Office","Outside London","Female","780","715","36340","31390"
"In post","2023","Intellectual Property Office","Outside London","Male","855","825","44330","42770"
"In post","2023","Legal Aid Agency","London","Female","90","85","43680","43650"
"In post","2023","Legal Aid Agency","London","Male","55","55","49200","46580"
"In post","2023","Legal Aid Agency","Outside London","Female","645","580","27610","25830"
"In post","2023","Legal Aid Agency","Outside London","Male","390","380","30280","25830"
"In post","2023","Legal Aid Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Legal Aid Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","London","Male","5","5","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","Outside London","Female","450","420","33250","31350"
"In post","2023","Maritime and Coastguard Agency","Outside London","Male","740","735","36910","32670"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","London","Female","545","525","49890","42060"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","London","Male","305","300","50740","43230"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Outside London","Female","175","170","48300","45180"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Outside London","Male","155","155","49530","44660"
"In post","2023","Met Office","London","Female","20","20","[c]","[c]"
"In post","2023","Met Office","London","Male","10","10","[c]","[c]"
"In post","2023","Met Office","Outside London","Female","875","810","38030","37420"
"In post","2023","Met Office","Outside London","Male","1355","1315","40390","39650"
"In post","2023","Met Office","Overseas","Female","15","15","[c]","[c]"
"In post","2023","Met Office","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Ministry of Defence (excl. agencies)","London","Female","1725","1675","45500","43700"
"In post","2023","Ministry of Defence (excl. agencies)","London","Male","2345","2315","45680","44820"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","Female","14675","13860","32300","27470"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","Male","17880","17525","33970","30700"
"In post","2023","Ministry of Defence (excl. agencies)","Overseas","Female","325","325","53950","52880"
"In post","2023","Ministry of Defence (excl. agencies)","Overseas","Male","345","345","57190","53230"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Ministry of Justice (excl. agencies)","London","Female","2385","2310","46030","43650"
"In post","2023","Ministry of Justice (excl. agencies)","London","Male","1705","1680","49120","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","Female","1765","1700","38040","36940"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","Male","1260","1240","41170","37680"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","Male","10","10","[c]","[c]"
"In post","2023","National Crime Agency","London","Female","735","705","44920","42240"
"In post","2023","National Crime Agency","London","Male","835","825","49110","45700"
"In post","2023","National Crime Agency","Outside London","Female","1730","1645","38650","38310"
"In post","2023","National Crime Agency","Outside London","Male","2040","2010","42070","40440"
"In post","2023","National Crime Agency","Overseas","Female","20","20","[c]","[c]"
"In post","2023","National Crime Agency","Overseas","Male","105","105","48990","47380"
"In post","2023","National Crime Agency","Unknown","Female","45","40","43680","42520"
"In post","2023","National Crime Agency","Unknown","Male","60","60","49710","48410"
"In post","2023","National Infrastructure Commission","London","Female","25","20","[c]","[c]"
"In post","2023","National Infrastructure Commission","London","Male","25","25","[c]","[c]"
"In post","2023","National Infrastructure Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","National Infrastructure Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","National Records of Scotland","Outside London","Female","245","225","38090","34730"
"In post","2023","National Records of Scotland","Outside London","Male","210","205","38040","34270"
"In post","2023","National Savings and Investments","London","Female","70","65","49480","46560"
"In post","2023","National Savings and Investments","London","Male","80","80","59190","54500"
"In post","2023","National Savings and Investments","Outside London","Female","25","25","[c]","[c]"
"In post","2023","National Savings and Investments","Outside London","Male","35","35","45940","45000"
"In post","2023","Northern Ireland Office","London","Female","45","45","54350","55720"
"In post","2023","Northern Ireland Office","London","Male","45","45","55820","43650"
"In post","2023","Northern Ireland Office","Outside London","Female","40","40","36210","37680"
"In post","2023","Northern Ireland Office","Outside London","Male","35","35","40720","37680"
"In post","2023","Office for Budget Responsibility","London","Female","20","20","[c]","[c]"
"In post","2023","Office for Budget Responsibility","London","Male","25","25","[c]","[c]"
"In post","2023","Office for Standards in Education, Children's Services and Skills","London","Female","210","200","54530","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","London","Male","105","105","56140","44250"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Outside London","Female","1185","1135","50770","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Outside London","Male","535","530","53930","52750"
"In post","2023","Office of Gas and Electricity Markets","London","Female","400","390","49150","46200"
"In post","2023","Office of Gas and Electricity Markets","London","Male","465","465","51250","46860"
"In post","2023","Office of Gas and Electricity Markets","Outside London","Female","320","315","39380","35400"
"In post","2023","Office of Gas and Electricity Markets","Outside London","Male","370","370","40260","33960"
"In post","2023","Office of Qualifications and Examinations Regulation","Outside London","Female","220","210","42790","39140"
"In post","2023","Office of Qualifications and Examinations Regulation","Outside London","Male","125","125","48050","47500"
"In post","2023","Office of Rail and Road","London","Female","95","95","54500","57260"
"In post","2023","Office of Rail and Road","London","Male","110","105","60110","57700"
"In post","2023","Office of Rail and Road","Outside London","Female","65","65","50270","52500"
"In post","2023","Office of Rail and Road","Outside London","Male","95","90","54170","53770"
"In post","2023","Office of the Public Guardian","London","Female","5","5","[c]","[c]"
"In post","2023","Office of the Public Guardian","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","Outside London","Female","925","835","24660","21780"
"In post","2023","Office of the Public Guardian","Outside London","Male","715","685","24520","21780"
"In post","2023","Office of the Public Guardian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Outside London","Female","25","20","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","Female","25","25","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","Male","20","20","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","Female","50","45","53190","53860"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","Male","35","35","52290","52360"
"In post","2023","Office of the Secretary of State for Wales","London","Female","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","Male","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Planning Inspectorate","London","Female","5","5","[c]","[c]"
"In post","2023","Planning Inspectorate","London","Male","20","20","[c]","[c]"
"In post","2023","Planning Inspectorate","Outside London","Female","410","365","42240","41560"
"In post","2023","Planning Inspectorate","Outside London","Male","450","415","49410","48660"
"In post","2023","Queen Elizabeth II Centre","London","Female","10","10","[c]","[c]"
"In post","2023","Queen Elizabeth II Centre","London","Male","30","30","[c]","[c]"
"In post","2023","Registers of Scotland","Outside London","Female","610","575","35570","32510"
"In post","2023","Registers of Scotland","Outside London","Male","575","565","35950","32510"
"In post","2023","Revenue Scotland","Outside London","Female","45","45","42680","38330"
"In post","2023","Revenue Scotland","Outside London","Male","40","40","43740","38330"
"In post","2023","Royal Fleet Auxiliary","Unknown","Female","170","170","38020","36860"
"In post","2023","Royal Fleet Auxiliary","Unknown","Male","1530","1530","42380","40530"
"In post","2023","Rural Payments Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Rural Payments Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Rural Payments Agency","Outside London","Female","1610","1425","26810","22150"
"In post","2023","Rural Payments Agency","Outside London","Male","1205","1175","27230","22150"
"In post","2023","Scottish Courts and Tribunals Service","Outside London","Female","1335","1200","30160","25060"
"In post","2023","Scottish Courts and Tribunals Service","Outside London","Male","625","585","31080","25930"
"In post","2023","Scottish Fiscal Commission","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Scottish Fiscal Commission","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Scottish Forestry","Outside London","Female","115","110","34160","32220"
"In post","2023","Scottish Forestry","Outside London","Male","105","100","42880","39520"
"In post","2023","Scottish Government (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","London","Male","5","5","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","Outside London","Female","5165","4870","46590","42860"
"In post","2023","Scottish Government (excl. agencies)","Outside London","Male","3970","3895","47570","42860"
"In post","2023","Scottish Government (excl. agencies)","Overseas","Female","10","10","[c]","[c]"
