"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Southern Scotland","South Lanarkshire","10","5","[c]","[c]"
"In post","2023","Analysis","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","West Central Scotland","Glasgow City","95","90","41210","35400"
"In post","2023","Analysis","Scotland","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","10","10","37300","36470"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","Central Hampshire","555","535","45190","49260"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","Portsmouth","30","30","37970","34300"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","South Hampshire","530","505","39750","37760"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","East Kent","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","Brighton and Hove","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","East Sussex CC","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","10","10","30100","30330"
"In post","2023","Analysis","South West (England)","Devon","Devon CC","15","15","35640","34170"
"In post","2023","Analysis","South West (England)","Devon","Plymouth","20","20","35130","31760"
"In post","2023","Analysis","South West (England)","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","Dorset","140","135","35010","30350"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","70","65","40890","36990"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","220","210","41980","40650"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","520","505","43330","39890"
"In post","2023","Analysis","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Wales","East Wales","Cardiff and Vale of Glamorgan","40","40","43040","37680"
"In post","2023","Analysis","Wales","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","East Wales","Monmouthshire and Newport","1100","1060","38970","37760"
"In post","2023","Analysis","Wales","East Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Central Valleys","5","5","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","5","5","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","Shropshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","15","15","35580","33830"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Birmingham","100","95","42940","37680"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Coventry","30","30","43440","41510"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Sandwell","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Solihull","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Walsall","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","Wolverhampton","20","20","36460","31290"
"In post","2023","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","10","10","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","York","25","25","43790","40560"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","Sheffield","355","330","45410","43250"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","Leeds","250","240","41620","38470"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","50","50","49350","42360"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","25","20","33850","30320"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","35","35","43340","40600"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","Lincolnshire CC","15","15","37880","34300"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
