"Status","Year","Disability","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Black","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","AA/AO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","EO","40","35","31260","32520"
"In post","2023","Declared disabled","Black","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","SEO/HEO","35","35","38850","39560"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
