"Status","Year","Disability","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Department for Education (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Driver and Vehicle Licensing Agency","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","FCDO Services","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Government Commercial Organisation","London","65","65","77580","67280"
"In post","2023","Declared disabled","Commercial","Government Commercial Organisation","Outside London","100","100","70130","67200"
"In post","2023","Declared disabled","Commercial","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs (excl. agencies)","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Health and Safety Executive","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Met Office","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","Outside London","90","85","38650","35890"
"In post","2023","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice (excl. agencies)","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Prison Service","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Submarine Delivery Agency","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Active Travel England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Central Civil Service Fast Stream","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
