"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Communications","London","Inner London - West","100","100","42370","40850"
"In post","2023","Asian","Communications","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","North West (England)","Greater Manchester","10","10","[c]","[c]"
"In post","2023","Asian","Communications","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","Inner London - East","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","Inner London - West","10","10","[c]","[c]"
"In post","2023","Asian","Corporate Finance","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","30","30","31590","34170"
"In post","2023","Asian","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East of England","East Anglia","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East of England","Essex","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","Inner London - East","90","85","35180","32520"
"In post","2023","Asian","Counter Fraud","London","Inner London - West","40","35","38420","34260"
"In post","2023","Asian","Counter Fraud","London","Outer London - East and North East","180","165","29410","25610"
"In post","2023","Asian","Counter Fraud","London","Outer London - South","30","30","35960","32520"
"In post","2023","Asian","Counter Fraud","London","Outer London - West and North West","50","45","33250","32520"
"In post","2023","Asian","Counter Fraud","North East (England)","Northumberland, and Tyne and Wear","15","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Greater Manchester","25","25","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Lancashire","25","25","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","West Central Scotland","15","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","45","40","29810","31280"
"In post","2023","Asian","Counter Fraud","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South East (England)","Kent","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South East (England)","Surrey, East and West Sussex","20","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","West Midlands (England)","West Midlands","130","125","28950","28120"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","South Yorkshire","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","West Yorkshire","55","50","29980","28120"
"In post","2023","Asian","Digital, Data and Technology","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East of England","Bedfordshire and Hertfordshire","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East of England","East Anglia","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","London","Inner London - East","255","250","50000","45960"
"In post","2023","Asian","Digital, Data and Technology","London","Inner London - West","360","355","49400","44660"
"In post","2023","Asian","Digital, Data and Technology","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","London","Outer London - South","145","140","50820","46420"
"In post","2023","Asian","Digital, Data and Technology","London","Outer London - West and North West","90","90","46980","41990"
"In post","2023","Asian","Digital, Data and Technology","North East (England)","Northumberland, and Tyne and Wear","80","80","44360","42160"
"In post","2023","Asian","Digital, Data and Technology","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Greater Manchester","145","145","41340","38470"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Lancashire","30","30","38240","34170"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Merseyside","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","Eastern Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","30","30","43310","37740"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","25","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Devon","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","39770","37590"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Wales","East Wales","45","45","41090","39980"
"In post","2023","Asian","Digital, Data and Technology","Wales","West Wales and The Valleys","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","West Midlands (England)","Shropshire and Staffordshire","50","45","41990","42320"
"In post","2023","Asian","Digital, Data and Technology","West Midlands (England)","West Midlands","170","165","40820","37680"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","North Yorkshire","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","45","45","44040","39190"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","95","90","41370","38760"
"In post","2023","Asian","Economics","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","London","Inner London - East","40","40","45940","39110"
"In post","2023","Asian","Economics","London","Inner London - West","150","150","47660","43760"
"In post","2023","Asian","Economics","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Greater Manchester","15","15","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Wales","East Wales","10","10","[c]","[c]"
"In post","2023","Asian","Economics","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2023","Asian","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2023","Asian","Finance","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","East of England","Bedfordshire and Hertfordshire","15","15","[c]","[c]"
"In post","2023","Asian","Finance","East of England","East Anglia","5","5","[c]","[c]"
"In post","2023","Asian","Finance","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","London","Inner London - East","85","80","45910","43650"
"In post","2023","Asian","Finance","London","Inner London - West","370","360","46580","43250"
"In post","2023","Asian","Finance","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","London","Outer London - South","55","55","44520","39110"
"In post","2023","Asian","Finance","London","Outer London - West and North West","15","15","[c]","[c]"
"In post","2023","Asian","Finance","North East (England)","Northumberland, and Tyne and Wear","15","15","[c]","[c]"
"In post","2023","Asian","Finance","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","North West (England)","Greater Manchester","50","45","39030","36150"
"In post","2023","Asian","Finance","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2023","Asian","Finance","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","25","25","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","45","45","41330","41000"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Wales","East Wales","10","10","[c]","[c]"
"In post","2023","Asian","Finance","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","West Midlands (England)","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2023","Asian","Finance","West Midlands (England)","West Midlands","110","105","36010","34170"
"In post","2023","Asian","Finance","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Yorkshire and The Humber","South Yorkshire","20","20","[c]","[c]"
"In post","2023","Asian","Finance","Yorkshire and The Humber","West Yorkshire","40","40","35570","31270"
"In post","2023","Asian","Geography","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","25","20","[c]","[c]"
"In post","2023","Asian","Human Resources","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","East of England","East Anglia","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","London","Inner London - East","70","65","45540","42580"
"In post","2023","Asian","Human Resources","London","Inner London - West","245","240","42490","39150"
"In post","2023","Asian","Human Resources","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","London","Outer London - South","55","55","39100","36180"
"In post","2023","Asian","Human Resources","London","Outer London - West and North West","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","North East (England)","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Greater Manchester","35","35","34450","34700"
"In post","2023","Asian","Human Resources","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","20","15","[c]","[c]"
